id,report_type_metric_sub_metric_id,question_id,order_id,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
1,1,111,1,1,"2010-02-03 10:52:26",13,"2011-01-10 11:10:21",NULL,NULL
2,2,6,6,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
3,3,10,10,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
4,4,13,13,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
5,5,18,18,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
6,6,23,23,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
7,7,25,25,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
8,8,27,27,1,"2010-02-03 10:52:26",1,"2010-02-03 10:52:26",NULL,NULL
9,13,31,31,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
10,9,35,35,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
11,10,38,38,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
12,14,42,42,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
13,18,46,46,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
14,11,50,50,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
15,15,54,54,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
16,19,56,56,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
17,12,60,60,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
18,16,63,63,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
19,20,66,66,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
20,23,68,68,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
21,17,71,71,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
22,21,75,75,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
23,24,78,78,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
24,22,80,80,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
25,25,85,85,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
26,26,90,90,1,"2010-02-03 10:52:27",1,"2010-02-03 10:52:27",NULL,NULL
27,1,1,2,1,"2010-02-03 10:54:29",13,"2011-01-10 11:10:21",NULL,NULL
28,2,7,7,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
29,3,11,11,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
30,4,14,14,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
31,5,19,19,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
32,6,24,24,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
33,7,26,26,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
34,8,28,28,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
35,13,32,32,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
36,9,36,36,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
37,10,39,39,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
38,14,43,43,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
39,18,47,47,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
40,11,51,51,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
41,15,55,55,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
42,19,57,57,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
43,12,61,61,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
44,16,64,64,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
45,20,67,67,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
46,23,69,69,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
47,17,72,72,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
48,21,76,76,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
49,24,79,79,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
50,22,81,81,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
