id,sub_metric_id,"uuid","value","status",version,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
1,1,"3e67331d-fd59-2074-5d54-0cafb33080a1","Primary","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
2,1,"ab0916c9-4d8f-3c24-396f-a25025a5eb7e","Secondary","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
3,1,"34495bd3-b3a4-7774-4d67-1b44e254a8cc","Tertiary","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
4,1,"abd62c00-1328-ed54-317a-f9f2fab532fc","Deeper","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
5,1,"eaea5b44-38a7-8004-113a-6566c4f9641f","Right Links","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
6,2,"20d7c8b4-f8a3-32c4-7927-44a559842a60","Is treatment of navigation the same throughout corporate areas?","",NULL,NULL,"2009-09-17 11:55:59",13,"2011-01-07 15:21:55",NULL,NULL
7,2,"45d72817-de33-89f4-d508-1bcab419292d","Is the current page/section clearly indicated?","",NULL,NULL,"2009-09-11 16:35:56",13,"2011-01-07 14:41:01",NULL,NULL
8,2,"d1d846f1-b586-a924-5520-b614f1ea9320","Do you get pushed out of sections without that being clear?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
9,2,"72f22f01-ee2c-6534-d9e8-b55920c07e39","How intelligently are new and replacement windows used?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
10,3,"bc17d92c-0594-46d4-a5c8-2f8d4dc018a1","How easy is it to get to country/business/brand sites from home page?","",NULL,NULL,"2009-09-11 16:35:56",13,"2011-01-07 14:41:46",NULL,NULL
11,3,"dd19927a-e88a-5864-356f-b5d95cb8885a","How easy is it to move around the web estate?","",NULL,NULL,"2009-09-11 16:35:56",13,"2011-05-10 15:46:50",NULL,NULL
12,3,"4f71c331-a6bc-af24-dd56-bc10a473be0b","Are routes back from country/business sites to the centre consistent?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
13,4,"069fe1bb-05b7-6b34-11d6-094b585918fc","Term / phrase A (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
14,4,"822481a9-6449-2974-89c0-f7137a57d8a9","Term / phrase B (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
15,4,"c4d082d1-b5ed-4e04-4d5d-0c02a354b182","Term / phrase C (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
16,4,"a975662d-d86b-c164-a515-ee461cdda3ee","Term / phrase D (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
17,4,"0482e1f8-0c62-b564-5d29-4ebca67591db","Term / phrase E (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
18,5,"8584b0a8-5201-52d4-e18b-d71b496fc2ad","Term / phrase A (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
19,5,"eb2f1117-a874-76e4-4549-738a5460baf3","Term / phrase B (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
20,5,"daacbcb5-fa11-b874-3596-42e64979dc04","Term / phrase C (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
21,5,"1a9e1d4d-db6a-a934-8164-44131a1156d1","Term / phrase D (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
22,5,"85222f20-e572-2ae4-b941-b9a3a0969bfe","Term / phrase E (Enter the term or phrase as the first line of the answer):","",NULL,NULL,"2009-09-17 11:55:59",NULL,"2009-09-17 11:55:59",NULL,NULL
23,6,"c797d3e1-474c-5f84-ede8-8fa2e707da35","Are there engaging stories, good headlines?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
24,6,"71d92c66-9e0f-21f4-a9e7-50b7bc556af6","Does it come across as international when it should?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
25,7,"bfc7c8a3-db59-43d4-b58d-23b085147d05","Is the look/feel appropriate, unusual, up to date?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
26,7,"c6da7089-d3ab-3e44-c9d9-fc44098447aa","Do country/business sites transmit the same (or an appropriate) image?","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
27,8,"f2d07051-4935-b454-b940-7c4e730ff83e","Does the site have a suitably global feel, eg on the home page, in About us, CSR?","",NULL,NULL,"2009-09-11 16:35:56",13,"2011-01-07 15:52:33",NULL,NULL
28,8,"4d300971-c459-e874-d135-5e575127e936","In an international company, check the number of foreign sites.","",NULL,NULL,"2009-09-11 16:35:56",NULL,"2009-09-11 16:35:56",NULL,NULL
